t,i,x,x',x'',e(t),integral(e(t)),d(e(t))/dt
0,1.5005,5.1,-0.114015,-11.4156,-0.1,-0.001,0
0.01,1.501,5.09886,-0.228171,-11.4393,-0.1,-0.002,0
0.02,1.473,5.09658,-0.342564,-10.6722,-0.0988598,-0.003,0.114015
0.03,1.43925,5.09315,-0.449287,-9.77098,-0.0965781,-0.0039886,0.228171
0.04,1.39973,5.08866,-0.546997,-8.7432,-0.0931525,-0.00495438,0.342564
0.05,1.35638,5.08319,-0.634429,-7.64969,-0.0886596,-0.0058859,0.449287
0.06,1.30994,5.07685,-0.710926,-6.51531,-0.0831897,-0.0067725,0.546997
0.07,1.26114,5.06974,-0.776079,-5.36451,-0.0768454,-0.0076044,0.634429
0.08,1.21068,5.06198,-0.829724,-4.21763,-0.0697361,-0.00837285,0.710926
0.09,1.1592,5.05368,-0.8719,-3.09245,-0.0619753,-0.00907021,0.776079
0.1,1.10729,5.04496,-0.902825,-2.00386,-0.0536781,-0.00968997,0.829724
0.11,1.05553,5.03593,-0.922863,-0.963985,-0.0449591,-0.0102267,0.8719
0.12,1.00443,5.0267,-0.932503,0.017804,-0.0359308,-0.0106763,0.902825
0.13,0.954456,5.01738,-0.932325,0.934698,-0.0267022,-0.0110356,0.922863
0.14,0.906037,5.00805,-0.922978,1.78222,-0.0173772,-0.0113027,0.932503
0.15,0.859543,4.99882,-0.905156,2.55795,-0.00805392,-0.0114764,0.932325
0.16,0.815304,4.98977,-0.879576,3.26122,0.00117586,-0.011557,0.922978
0.17,0.773604,4.98098,-0.846964,3.89281,0.0102274,-0.0115452,0.905156
0.18,0.73469,4.97251,-0.808036,4.45462,0.0190232,-0.0114429,0.879576
0.19,0.698769,4.96443,-0.76349,4.9494,0.0274928,-0.0112527,0.846964
0.2,0.666016,4.95679,-0.713996,5.38048,0.0355732,-0.0109778,0.808036
0.21,0.636573,4.94965,-0.660191,5.7515,0.0432081,-0.0106221,0.76349
0.22,0.610556,4.94305,-0.602676,6.06622,0.050348,-0.01019,0.713996
0.23,0.588055,4.93702,-0.542014,6.32835,0.0569499,-0.00968649,0.660191
0.24,0.56914,4.9316,-0.47873,6.54136,0.0629767,-0.00911699,0.602676
0.25,0.553857,4.92682,-0.413317,6.70836,0.0683968,-0.00848723,0.542014
0.26,0.542235,4.92268,-0.346233,6.83203,0.0731841,-0.00780326,0.47873
0.27,0.534286,4.91922,-0.277913,6.91454,0.0773173,-0.00707142,0.413317
0.28,0.530004,4.91644,-0.208768,6.95748,0.0807796,-0.00629824,0.346233
0.29,0.529369,4.91435,-0.139193,6.9619,0.0835588,-0.00549045,0.277913
0.3,0.532342,4.91296,-0.0695737,6.92823,0.0856465,-0.00465486,0.208768
0.31,0.538869,4.91227,-0.000291462,6.85637,0.0870384,-0.00379839,0.139193
0.32,0.548879,4.91226,0.0682723,6.74574,0.0877341,-0.00292801,0.0695737
0.33,0.562282,4.91295,0.13573,6.59532,0.087737,-0.00205067,0.000291462
0.34,0.57897,4.9143,0.201683,6.40376,0.0870543,-0.0011733,-0.0682723
0.35,0.598812,4.91632,0.26572,6.1695,0.085697,-0.000302756,-0.13573
0.36,0.621659,4.91898,0.327415,5.8909,0.0836802,0.000554214,-0.201683
0.37,0.647334,4.92225,0.386324,5.56642,0.081023,0.00139102,-0.26572
0.38,0.675638,4.92611,0.441989,5.19475,0.0777488,0.00220125,-0.327415
0.39,0.706348,4.93053,0.493936,4.77501,0.0738856,0.00297873,-0.386324
0.4,0.73921,4.93547,0.541686,4.30695,0.0694657,0.00371759,-0.441989
0.41,0.773949,4.94089,0.584756,3.7911,0.0645263,0.00441225,-0.493936
0.42,0.810261,4.94674,0.622667,3.22897,0.0591095,0.00505751,-0.541686
0.43,0.847817,4.95296,0.654956,2.62317,0.0532619,0.0056486,-0.584756
0.44,0.886266,4.95951,0.681188,1.97756,0.0470352,0.00618122,-0.622667
0.45,0.925237,4.96633,0.700964,1.2973,0.0404857,0.00665158,-0.654956
0.46,0.96434,4.97334,0.713937,0.588882,0.0336738,0.00705643,-0.681188
0.47,1.00318,4.98048,0.719826,-0.139907,0.0266642,0.00739317,-0.700964
0.48,1.04133,4.98767,0.718426,-0.880066,0.0195248,0.00765981,-0.713937
0.49,1.0784,4.99486,0.709626,-1.62156,0.0123265,0.00785506,-0.719826
0.5,1.11398,5.00195,0.69341,-2.35352,0.00514228,0.00797833,-0.718426
0.51,1.14768,5.00889,0.669875,-3.06457,-0.00195397,0.00802975,-0.709626
0.52,1.17912,5.01559,0.639229,-3.7431,-0.00888808,0.00801021,-0.69341
0.53,1.20795,5.02198,0.601798,-4.37764,-0.0155868,0.00792133,-0.669875
0.54,1.23386,5.028,0.558022,-4.95726,-0.0219791,0.00776546,-0.639229
0.55,1.25657,5.03358,0.508449,-5.4719,-0.0279971,0.00754567,-0.601798
0.56,1.27586,5.03866,0.45373,-5.91272,-0.0335773,0.0072657,-0.558022
0.57,1.29153,5.0432,0.394603,-6.27239,-0.0386618,0.00692992,-0.508449
0.58,1.30347,5.04715,0.331879,-6.54536,-0.0431991,0.00654331,-0.45373
0.59,1.31159,5.05046,0.266426,-6.72799,-0.0471451,0.00611132,-0.394603
0.6,1.31588,5.05313,0.199146,-6.81866,-0.0504639,0.00563986,-0.331879
0.61,1.31636,5.05512,0.130959,-6.81776,-0.0531282,0.00513522,-0.266426
0.62,1.31313,5.05643,0.0627815,-6.72763,-0.0551196,0.00460394,-0.199146
0.63,1.30631,5.05706,-0.00449479,-6.55242,-0.0564292,0.00405275,-0.130959
0.64,1.2961,5.05701,-0.070019,-6.29788,-0.0570571,0.00348845,-0.0627815
0.65,1.2827,5.05631,-0.132998,-5.9711,-0.0570121,0.00291788,0.00449479
0.66,1.26638,5.05498,-0.192709,-5.58024,-0.0563119,0.00234776,0.070019
0.67,1.24742,5.05305,-0.248511,-5.13424,-0.0549819,0.00178464,0.132998
0.68,1.22612,5.05057,-0.299854,-4.6425,-0.0530549,0.00123482,0.192709
0.69,1.20279,5.04757,-0.346279,-4.11461,-0.0505697,0.000704275,0.248511
0.7,1.17779,5.04411,-0.387425,-3.56006,-0.0475712,0.000198578,0.299854
0.71,1.15142,5.04023,-0.423025,-2.98806,-0.0441084,-0.000277134,0.346279
0.72,1.12405,5.036,-0.452906,-2.4073,-0.0402342,-0.000718219,0.387425
0.73,1.09597,5.03147,-0.476979,-1.8258,-0.0360039,-0.00112056,0.423025
0.74,1.06753,5.02671,-0.495237,-1.25085,-0.0314749,-0.0014806,0.452906
0.75,1.03903,5.02175,-0.507745,-0.688869,-0.0267051,-0.00179535,0.476979
0.76,1.01075,5.01668,-0.514634,-0.145431,-0.0217527,-0.0020624,0.495237
0.77,0.982967,5.01153,-0.516088,0.374771,-0.0166753,-0.00227993,0.507745
0.78,0.955941,5.00637,-0.512341,0.867888,-0.0115289,-0.00244668,0.514634
0.79,0.929903,5.00124,-0.503662,1.33086,-0.00636803,-0.00256197,0.516088
0.8,0.905068,4.99621,-0.490353,1.76136,-0.00124462,-0.00262565,0.512341
0.81,0.881627,4.9913,-0.47274,2.1577,0.003792,-0.00263809,0.503662
0.82,0.859752,4.98658,-0.451163,2.51876,0.00869553,-0.00260017,0.490353
0.83,0.839594,4.98207,-0.425975,2.8439,0.0134229,-0.00251322,0.47274
0.84,0.821284,4.97781,-0.397536,3.13287,0.0179346,-0.00237899,0.451163
0.85,0.804933,4.97383,-0.366207,3.38571,0.0221943,-0.00219964,0.425975
0.86,0.790633,4.97017,-0.33235,3.60269,0.0261697,-0.0019777,0.397536
0.87,0.778458,4.96684,-0.296323,3.78425,0.0298317,-0.001716,0.366207
0.88,0.768463,4.96388,-0.258481,3.9309,0.0331552,-0.00141769,0.33235
0.89,0.760686,4.9613,-0.219172,4.04322,0.0361185,-0.00108613,0.296323
0.9,0.75515,4.95911,-0.17874,4.12178,0.0387033,-0.00072495,0.258481
0.91,0.75186,4.95732,-0.137522,4.16715,0.040895,-0.000337917,0.219172
0.92,0.750805,4.95594,-0.0958503,4.17984,0.0426824,7.1033e-05,0.17874
0.93,0.751959,4.95498,-0.0540519,4.16035,0.0440576,0.000497857,0.137522
0.94,0.75528,4.95444,-0.0124484,4.10911,0.0450161,0.000938433,0.0958503
0.95,0.760712,4.95432,0.0286427,4.02657,0.0455566,0.00138859,0.0540519
0.96,0.768183,4.95461,0.0689085,3.91317,0.0456811,0.00184416,0.0124484
0.97,0.777605,4.95529,0.10804,3.7694,0.0453947,0.00230097,-0.0286427
0.98,0.788876,4.95637,0.145734,3.59581,0.0447056,0.00275492,-0.0689085
0.99,0.801881,4.95783,0.181692,3.39312,0.0436252,0.00320197,-0.10804
1,0.816488,4.95965,0.215624,3.1622,0.0421679,0.00363823,-0.145734
1.01,0.832554,4.96181,0.247246,2.90416,0.0403509,0.0040599,-0.181692
1.02,0.84992,4.96428,0.276287,2.62037,0.0381947,0.00446341,-0.215624
1.03,0.868415,4.96704,0.302491,2.31254,0.0357222,0.00484536,-0.247246
1.04,0.887859,4.97007,0.325616,1.98272,0.0329594,0.00520258,-0.276287
1.05,0.90806,4.97332,0.345443,1.63337,0.0299345,0.00553218,-0.302491
1.06,0.928816,4.97678,0.361777,1.26732,0.0266783,0.00583152,-0.325616
1.07,0.94992,4.98039,0.37445,0.887827,0.0232239,0.00609831,-0.345443
1.08,0.97116,4.98414,0.383329,0.498534,0.0196061,0.00633054,-0.361777
1.09,0.992319,4.98797,0.388314,0.103446,0.0158616,0.0065266,-0.37445
1.1,1.01318,4.99185,0.389348,-0.293117,0.0120283,0.00668522,-0.383329
1.11,1.03353,4.99575,0.386417,-0.686583,0.00814517,0.0068055,-0.388314
1.12,1.05317,4.99961,0.379551,-1.0722,0.00425168,0.00688696,-0.389348
1.13,1.07188,5.00341,0.368829,-1.44515,0.000387508,0.00692947,-0.386417
1.14,1.08948,5.0071,0.354378,-1.80062,-0.00340801,0.00693335,-0.379551
1.15,1.1058,5.01064,0.336372,-2.13394,-0.0070963,0.00689927,-0.368829
1.16,1.12066,5.014,0.315032,-2.44065,-0.0106401,0.0068283,-0.354378
1.17,1.13393,5.01715,0.290626,-2.71669,-0.0140038,0.0067219,-0.336372
1.18,1.14549,5.02006,0.263459,-2.9584,-0.0171541,0.00658187,-0.315032
1.19,1.15522,5.02269,0.233875,-3.16269,-0.0200604,0.00641032,-0.290626
1.2,1.16306,5.02503,0.202248,-3.32708,-0.022695,0.00620972,-0.263459
1.21,1.16895,5.02706,0.168977,-3.44978,-0.0250337,0.00598277,-0.233875
1.22,1.17286,5.02875,0.134479,-3.5297,-0.0270562,0.00573243,-0.202248
1.23,1.17479,5.03009,0.0991823,-3.56647,-0.028746,0.00546187,-0.168977
1.24,1.17476,5.03108,0.0635176,-3.56047,-0.0300908,0.00517441,-0.134479
1.25,1.17281,5.03172,0.0279129,-3.51277,-0.0310826,0.0048735,-0.0991823
1.26,1.16901,5.032,-0.0072148,-3.42509,-0.0317178,0.00456268,-0.0635176
1.27,1.16344,5.03192,-0.0414657,-3.29975,-0.0319969,0.0042455,-0.0279129
1.28,1.15622,5.03151,-0.0744633,-3.13958,-0.0319247,0.00392553,0.0072148
1.29,1.14745,5.03077,-0.105859,-2.94784,-0.0315101,0.00360629,0.0414657
1.3,1.13729,5.02971,-0.135338,-2.72814,-0.0307654,0.00329118,0.0744633
