t,i,x,x',x'',e(t),integral(e(t)),d(e(t))/dt
0,1.5001,5.1,-0.114015,-11.4043,-0.1,-0.001,0
0.01,1.5002,5.09886,-0.228058,-11.4166,-0.1,-0.002,0
0.02,1.4718,5.09658,-0.342225,-10.6389,-0.0988598,-0.003,0.114015
0.03,1.43768,5.09316,-0.448614,-9.72834,-0.0965793,-0.0039886,0.228058
0.04,1.39784,5.08867,-0.545897,-8.69303,-0.093157,-0.00495439,0.342225
0.05,1.35422,5.08321,-0.632827,-7.5939,-0.0886709,-0.00588596,0.448614
0.06,1.30756,5.07688,-0.708766,-6.45587,-0.0832119,-0.00677267,0.545897
0.07,1.25861,5.0698,-0.773325,-5.30334,-0.0768836,-0.00760479,0.632827
0.08,1.20806,5.06206,-0.826358,-4.15657,-0.069796,-0.00837363,0.708766
0.09,1.15656,5.0538,-0.867924,-3.03314,-0.0620627,-0.00907159,0.773325
0.1,1.10469,5.04512,-0.898255,-1.94777,-0.0537991,-0.00969221,0.826358
0.11,1.05304,5.03614,-0.917733,-0.912329,-0.0451199,-0.0102302,0.867924
0.12,1.0021,5.02696,-0.926856,0.0640422,-0.0361373,-0.0106814,0.898255
0.13,0.952358,5.01769,-0.926216,0.974773,-0.02696,-0.0110428,0.917733
0.14,0.904217,5.00843,-0.916468,1.81561,-0.0176915,-0.0113124,0.926856
0.15,0.858052,4.99926,-0.898312,2.58434,-0.00842929,-0.0114893,0.926216
0.16,0.814187,4.99028,-0.872469,3.28048,0.000735392,-0.0115736,0.916468
0.17,0.772902,4.98156,-0.839664,3.90493,0.00971851,-0.0115662,0.898312
0.18,0.734437,4.97316,-0.800615,4.45971,0.0184432,-0.011469,0.872469
0.19,0.698996,4.96515,-0.756018,4.94767,0.0268398,-0.0112846,0.839664
0.2,0.666749,4.95759,-0.706541,5.37216,0.034846,-0.0110162,0.800615
0.21,0.637832,4.95053,-0.652819,5.73687,0.0424062,-0.0106678,0.756018
0.22,0.612358,4.944,-0.595451,6.04555,0.0494716,-0.0102437,0.706541
0.23,0.590412,4.93805,-0.534995,6.30187,0.0559998,-0.00974898,0.652819
0.24,0.572057,4.9327,-0.471976,6.50925,0.0619543,-0.00918898,0.595451
0.25,0.557337,4.92798,-0.406884,6.67077,0.0673042,-0.00856944,0.534995
0.26,0.546274,4.92391,-0.340176,6.78904,0.072024,-0.00789639,0.471976
0.27,0.538877,4.92051,-0.272286,6.86616,0.0760928,-0.00717616,0.406884
0.28,0.535133,4.91778,-0.203624,6.90366,0.0794946,-0.00641523,0.340176
0.29,0.535018,4.91575,-0.134588,6.90251,0.0822174,-0.00562028,0.272286
0.3,0.538487,4.9144,-0.0655625,6.86311,0.0842537,-0.00479811,0.203624
0.31,0.54548,4.91374,0.00306866,6.78535,0.0855996,-0.00395557,0.134588
0.32,0.555922,4.91378,0.0709222,6.66862,0.0862552,-0.00309957,0.0655625
0.33,0.569715,4.91448,0.137608,6.51192,0.0862245,-0.00223702,-0.00306866
0.34,0.586746,4.91586,0.202728,6.31395,0.0855153,-0.00137478,-0.0709222
0.35,0.606878,4.91789,0.265867,6.07324,0.0841392,-0.000519625,-0.137608
0.36,0.629954,4.92055,0.326599,5.78827,0.0821119,0.000321767,-0.202728
0.37,0.655793,4.92381,0.384482,5.45763,0.0794532,0.00114289,-0.265867
0.38,0.68419,4.92766,0.439058,5.08022,0.0761872,0.00193742,-0.326599
0.39,0.714914,4.93205,0.489861,4.65538,0.0723424,0.00269929,-0.384482
0.4,0.74771,4.93695,0.536415,4.1831,0.0679518,0.00342272,-0.439058
0.41,0.782296,4.94231,0.578246,3.66419,0.0630532,0.00410223,-0.489861
0.42,0.818364,4.94809,0.614887,3.10042,0.0576891,0.00473277,-0.536415
0.43,0.855585,4.95424,0.645892,2.49471,0.0519066,0.00530966,-0.578246
0.44,0.893606,4.9607,0.670839,1.85117,0.0457578,0.00582872,-0.614887
0.45,0.932055,4.96741,0.68935,1.17519,0.0392988,0.0062863,-0.645892
0.46,0.970548,4.9743,0.701102,0.473466,0.0325905,0.00667929,-0.670839
0.47,1.00868,4.98131,0.705837,-0.246075,0.0256969,0.00700519,-0.68935
0.48,1.04606,4.98837,0.703376,-0.974373,0.0186859,0.00726216,-0.701102
0.49,1.08228,4.99541,0.693633,-1.70141,0.0116276,0.00744902,-0.705837
0.5,1.11695,5.00234,0.676618,-2.41644,0.00459379,0.0075653,-0.703376
0.51,1.14968,5.00911,0.652454,-3.10829,-0.00234253,0.00761124,-0.693633
0.52,1.18011,5.01563,0.621371,-3.76564,-0.00910872,0.00758781,-0.676618
0.53,1.20791,5.02185,0.583715,-4.37743,-0.0156333,0.00749672,-0.652454
0.54,1.23278,5.02768,0.539941,-4.93318,-0.021847,0.00734039,-0.621371
0.55,1.25445,5.03308,0.490609,-5.42336,-0.0276841,0.00712192,-0.583715
0.56,1.27272,5.03799,0.436375,-5.83969,-0.0330835,0.00684508,-0.539941
0.57,1.28742,5.04235,0.377978,-6.17544,-0.0379896,0.00651424,-0.490609
0.58,1.29843,5.04613,0.316224,-6.42562,-0.0423534,0.00613435,-0.436375
0.59,1.30569,5.0493,0.251968,-6.58714,-0.0461331,0.00571081,-0.377978
0.6,1.3092,5.05182,0.186096,-6.65888,-0.0492954,0.00524948,-0.316224
0.61,1.30899,5.05368,0.119508,-6.64164,-0.0518151,0.00475653,-0.251968
0.62,1.30518,5.05487,0.0530911,-6.5381,-0.053676,0.00423838,-0.186096
0.63,1.29789,5.0554,-0.0122899,-6.35266,-0.0548711,0.00370162,-0.119508
0.64,1.28731,5.05528,-0.0758165,-6.09121,-0.055402,0.00315291,-0.0530911
0.65,1.27368,5.05452,-0.136729,-5.76088,-0.0552791,0.00259889,0.0122899
0.66,1.25724,5.05315,-0.194337,-5.36979,-0.0545209,0.0020461,0.0758165
